IDProtocollo,_TipoPersona,_AANascita,_Sesso,_TipoLesione,_Deceduto,_DecedutoDopo
2659687,Pedone,0,M,Illeso,False,
2707429,Pedone sconosciuto,0,,Illeso,False,
2671229,Pedone,0,F,Illeso,False,
2669953,Pedone,1966,M,Illeso,False,
2695386,Pedone,0,M,Illeso,False,
2711632,Pedone,1942,M,Illeso,False,
2654948,Pedone sconosciuto,0,,Illeso,False,
2682034,Pedone,1946,F,Rimandato,False,NON DECEDUTO
2661758,Pedone,0,F,Rimandato,False,NON DECEDUTO
2662821,Pedone,0,M,Rimandato,False,NON DECEDUTO
2664438,Pedone,1954,F,Rimandato,False,NON DECEDUTO
2672628,Pedone,0,M,Rimandato,False,NON DECEDUTO
2670351,Pedone,0,M,Prognosi riservata,False,NON DECEDUTO
2675870,Pedone,1957,F,Rimandato,False,NON DECEDUTO
2672045,Pedone,1968,F,Rimandato,False,NON DECEDUTO
2699731,Pedone,1939,F,Ricoverato,False,NON DECEDUTO
2703554,Pedone,1959,M,Rimandato,False,NON DECEDUTO
2658752,Pedone,1930,M,Rimandato,False,NON DECEDUTO
2704894,Pedone,2012,M,Rimandato,False,NON DECEDUTO
2707894,Pedone,0,M,Rimandato,False,NON DECEDUTO
2659593,Pedone,1999,F,Rimandato,False,NON DECEDUTO
2664641,Pedone,1937,M,Ricoverato,False,NON DECEDUTO
2669192,Pedone,1977,M,Rimandato,False,NON DECEDUTO
2670201,Pedone,1955,M,Rimandato,False,NON DECEDUTO
2686824,Pedone,1964,M,Rimandato,False,NON DECEDUTO
2686912,Pedone,1968,M,Rimandato,False,NON DECEDUTO
2685920,Pedone,1976,M,Rimandato,False,NON DECEDUTO
2691502,Pedone,1962,M,Rifiuta cure immediate,False,NON DECEDUTO
2690515,Pedone,0,F,Rimandato,False,NON DECEDUTO
2644694,Pedone,1940,F,Ricoverato,False,NON DECEDUTO
2641802,Pedone,1986,M,Rimandato,False,NON DECEDUTO
2647110,Pedone,0,M,Rimandato,False,NON DECEDUTO
2649021,Pedone,1961,F,Rimandato,False,NON DECEDUTO
2714134,Pedone,0,F,Rimandato,False,NON DECEDUTO
2715171,Pedone,1995,M,Rimandato,False,NON DECEDUTO
2676060,Pedone,2007,M,Rimandato,False,NON DECEDUTO
2652207,Pedone,1941,F,Prognosi riservata,False,NON DECEDUTO
2681569,Pedone,1970,F,Rimandato,False,NON DECEDUTO
2649498,Pedone,1947,F,Rimandato,False,NON DECEDUTO
2653673,Pedone,0,M,Prognosi riservata,False,NON DECEDUTO
2659851,Pedone,1962,M,Rifiuta cure immediate,False,NON DECEDUTO
2663889,Pedone,1993,F,Ricoverato,False,NON DECEDUTO
2677348,Pedone,1934,M,Rimandato,False,NON DECEDUTO
