_ID,_Gruppo,_DataOraIncidente,_Localizzazione1,_Localizzazione2,_Strada1,_DaSpecificare,_NaturaIncidente,_ParticolaritaStrade,_TipoStrada,_FondoStradale,_Pavimentazione,_Segnaletica,_CondizioneAtmosferica,_Traffico,_Visibilita,_Illuminazione,_NUM_FERITI,_NUM_RISERVATA,_NUM_MORTI,_NUM_ILLESI,_Longitudine,_Latitudine,_CONFERMATO,__prefix,_Strada02,_Strada2,_Chilometrica
2563244,9,2015-11-01T13:45:00,Strada Urbana,da specificare,VIA CESENA,alt. civ. 30,Veicolo in marcia contro veicolo arresto,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,0,0,0,2,12.51365,41.88394,True,z,,,
2563265,8,2015-11-01T13:45:00,,da specificare,VIA DI LUNGHEZZINA,alt. accesso autostrada Roma-L'Aquila,Veicolo in marcia contro ostacolo accidentale,,,,,,,,,,0,0,0,1,,,False,z,,,
2563301,20,2015-11-01T14:00:00,Altra strada,in prossimitíæ,VIA DELLA GIUSTINIANA,,Scontro frontale-laterale SX fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Ore Diurne,0,0,0,2,12.47471,42.00734,True,z,del civico n.,,271
2563517,4,2015-11-01T14:15:00,Strada Urbana,da specificare,VIA DELLA BUFALOTTA,altezza fronte civico 366,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Ore Diurne,0,0,0,1,12.54958,41.96665,False,z,,,
2563227,9,2015-11-01T14:15:00,Strada Urbana,all'intersezione con,VIA CAMILLA,,Scontro laterale fra veicoli in marcia,Incrocio,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,1,0,0,1,12.52511,41.87507,False,z,VIA MUZIO SCEVOLA,VIA MUZIO SCEVOLA,
2563212,13,2015-11-01T15:05:00,Strada Urbana,da specificare,VIA DEI PESCATORI,altezza cavalcavia,Scontro laterale fra veicoli in marcia,Cavalcavia,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Normale,Buona,Ore Diurne,1,0,0,5,12.33443,41.75221,False,z,,,
2563239,13,2015-11-01T15:45:00,Strada Urbana,da specificare,PIAZZALE DELLA STAZIONE DEL LIDO,antistante CARREFOUR MARKET,Scontro laterale fra veicoli in marcia,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,0,0,0,4,12.28238,41.73211,True,z,,,
2562945,5,2015-11-01T16:04:00,Strada Urbana,all'intersezione semaforizzata con,VIALE EGIDIO GALBANI,,Scontro laterale fra veicoli in marcia,Incrocio,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,0,0,0,2,12.56133,41.93109,True,z,VIA ATTILIO BENIGNI,VIA ATTILIO BENIGNI,
2563322,13,2015-11-01T16:55:00,Strada Urbana,all'intersezione con,VIA DI CASTEL FUSANO,,Scontro laterale fra veicoli in marcia,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Intenso,Buona,Ore Diurne,0,0,0,6,12.31188,41.74604,True,z,VIA OSTIENSE,VIA OSTIENSE,
2563295,8,2015-11-01T17:00:00,Strada Urbana,da specificare,PONTE DI SALONE,50m prima della rotatoria via Collatina,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Assente,Sereno,Normale,Sufficiente,Ore Diurne,0,0,0,2,12.62615,41.93212,True,z,,,
2563435,19,2015-11-01T17:00:00,Strada Urbana,da specificare,VIA GIOACCHINO VENTURA,pross. fronte civ. 9,Veicolo in marcia contro veicolo in sosta,Curva a visuale libera,Una carreggiata a doppio senso,Asciutto,Asfaltata,Assente,Sereno,Scarso,Buona,Sufficiente,0,0,0,0,12.42376,41.91265,True,z,,,
2563174,11,2015-11-01T17:00:00,Strada Urbana,da specificare,VIALE DEL CAMPO BOARIO,fronte civico 3,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,1,12.47807,41.8748,True,z,,,
2563300,8,2015-11-01T18:00:00,Provinciale entro l'abitato,da specificare,VIA DI ROCCA CENCIA,intersezione con via Prenestina Vecchia,Scontro frontale-laterale SX fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Insufficiente,Insufficiente,0,0,0,4,12.69748,41.89075,True,z,,,
2563275,8,2015-11-01T18:00:00,Strada Urbana,in prossimitíæ,VIA SICULIANA,,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,1,12.65748,41.86832,False,z,del civico n.,,60
2563759,18,2015-11-01T18:00:00,Strada Urbana,all'intersezione con,LARGO DI BOCCEA,,Scontro laterale fra veicoli in marcia,Intersezione stradale segnalata,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Sufficiente,0,0,0,3,12.42702,41.90134,True,z,VIA DOMENICO TARDINI,VIA DOMENICO TARDINI,
2563385,15,2015-11-01T18:00:00,Strada Urbana,all'intersezione con,VIA PORTUENSE,,Scontro laterale fra veicoli in marcia,Incrocio,Due carreggiate,Asciutto,Asfaltata,Orizzontale,Sereno,Normale,Buona,Sufficiente,0,0,0,4,12.40939,41.84342,True,z,LARGO GAETANO LA LOGGIA,LARGO GAETANO LA LOGGIA,
2563581,4,2015-11-01T18:19:00,,all'intersezione con,VIA PUPELLA MAGGIO,,Scontro frontale-laterale SX fra veicoli in marcia,,,,,,,,,,0,0,0,2,,,False,z,VIALE GOFFREDO LOMBARDO,VIALE GOFFREDO LOMBARDO,
2563756,18,2015-11-01T18:40:00,Strada Urbana,in corrispondenza,VIA MATTIA BATTISTINI,,Scontro frontale fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Intenso,Buona,Sufficiente,0,0,0,6,12.41423,41.9063,True,z,del civico n.,,78
2568214,18,2015-11-01T19:30:00,,in prossimitíæ,VIA AURELIA,,Tamponamento,,,,,,,,,,3,0,0,2,12.41273,41.89051,False,z,della chilometrica,,10.7
2563226,10,2015-11-01T19:42:00,Strada Urbana,in corrispondenza,VIA TUSCOLANA,,Scontro frontale-laterale SX fra veicoli in marcia,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Sufficiente,0,0,0,3,12.56592,41.85505,True,z,del civico n.,,977
2563277,8,2015-11-01T20:00:00,Strada Urbana,da specificare,VIA CASILINA,dir. Via degli Orafi alt. via Valvariana,Scontro laterale fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Intenso,Buona,Sufficiente,0,0,0,4,12.60933,41.86405,True,z,,,
2563688,1,2015-11-01T20:25:00,Strada Urbana,all'intersezione con,VIALE ENRICO DE NICOLA,,Scontro frontale-laterale SX fra veicoli in marcia,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Sufficiente,Sufficiente,1,0,0,1,12.501,41.90343,True,z,VIA MARSALA,VIA MARSALA,
