IDProtocollo,Progressivo,IDVeicolo,TipoVeicolo,StatoVeicolo,Marca,Modello
2689759,1,1036144,Autovettura privata,In marcia / fermata / arresto,Nissan,X Trail
2689759,2,1036146,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2689763,1,1036274,Autovettura privata,In marcia / fermata / arresto,Peugeot,206
2689767,1,1036279,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2689767,2,1036281,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2689768,1,1036143,Autoambulanza,In marcia / fermata / arresto,Peugeot,Boxer
2689769,1,1036331,Autovettura privata,In marcia / fermata / arresto,Audi,A 3
2689769,2,1036338,Autovettura privata,In marcia / fermata / arresto,Fiat,600
2689771,1,1036239,Autovettura privata,In marcia / fermata / arresto,Lancia,Ypsilon
2689771,2,1036243,Autovettura privata,In marcia / fermata / arresto,Audi,A 3
2689775,1,1036255,Autovettura privata,In marcia / fermata / arresto,Hyundai,Atos Prime
2689775,2,1036258,Autovettura privata,In marcia / fermata / arresto,Citroen,C 1
2689781,1,1036176,Autovettura privata,In marcia / fermata / arresto,Nissan,Micra
2689781,2,1036240,Autocarro superiore 35 q.,In marcia / fermata / arresto,Iveco,140/120/E4
2689793,1,1036145,Autovettura privata,In marcia / fermata / arresto,Renault,Clio
2689795,1,1038465,Autovettura privata,In marcia / fermata / arresto,Land Rover,Freelander
2689795,2,1038488,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2689798,1,1036154,Autovettura privata,In marcia / fermata / arresto,Fiat-Lancia,Y
