IDProtocollo,Progressivo,IDVeicolo,TipoVeicolo,StatoVeicolo,Marca,Modello
2658207,1,1030443,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Lupo
2658207,2,1030457,Autovettura privata,In marcia / fermata / arresto,Renault,Laguna
2658208,1,1027615,Autovettura privata,In marcia / fermata / arresto,Chrysler,Jeep Grand Cherokee
2658208,2,1027627,Autovettura privata,In marcia / fermata / arresto,Citroen,C1
2658217,1,1027563,Autovettura privata,In marcia / fermata / arresto,Mitsubishi,Space Star
2658217,2,1027600,Autovettura privata,In marcia / fermata / arresto,Audi,80
2658221,1,1027530,Autovettura privata,In marcia / fermata / arresto,Peugeot,3008
2658227,1,1027282,Autovettura privata,In marcia / fermata / arresto,Opel,Astra
2658237,1,1027535,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf
2658241,1,1027285,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Autocarro Fiat,Ducato
2658241,2,1027295,Autovettura privata,In marcia / fermata / arresto,Citroen,C 1
2658242,1,1027505,Autovettura privata,In marcia / fermata / arresto,Citroen,C 4
2658244,1,1030647,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf
2658244,2,1030657,Autovettura privata,In marcia / fermata / arresto,Peugeot,207
2658246,1,1027489,Autovettura privata,In marcia / fermata / arresto,Alfa Romeo,GTV
2658249,1,1039376,Autovettura privata,In marcia / fermata / arresto,Adam Opel,(non accertato)
2658249,2,1027288,Autovettura privata,In marcia / fermata / arresto,Citroen,Saxo
2658251,1,1027486,Autovettura privata,In marcia / fermata / arresto,BMW,320 D
2658258,1,1027442,Autovettura privata,In marcia / fermata / arresto,Porsche,911
2658258,2,1027454,Autovettura privata,Sosta,Mercedes,Smart For Two
2658258,3,1027480,Autovettura privata,Sosta,Mini,One
2658258,4,1027510,Autovettura privata,Sosta,Volkswagen,Polo
2658260,1,1027315,Autovettura privata,In marcia / fermata / arresto,Toyota,IQ
2658261,1,1027399,Autovettura privata,In marcia / fermata / arresto,Opel,Astra
2658266,1,1027292,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2658266,2,1027297,Autovettura privata,In marcia / fermata / arresto,Nissan,Micra
2658267,1,1027319,Autovettura privata,In marcia / fermata / arresto,Mazda,5
2658267,2,1027327,Autovettura privata,In marcia / fermata / arresto,Ford,Focus
2658268,1,1027290,Autovettura privata,In marcia / fermata / arresto,Fiat,500
2658268,2,1043080,Autovettura privata,Sosta,Nissan,Micra
2658269,1,1030580,Motociclo a solo,In marcia / fermata / arresto,Piaggio,Carnaby Cruiser
2658273,1,1027393,Autovettura privata,In marcia / fermata / arresto,Alfa Lancia,Y
2658279,1,1027298,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2658284,1,1027300,Autovettura privata,In marcia / fermata / arresto,Chevrolet,Matiz
2658284,2,1027301,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2658289,1,1027302,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Mitsubishi,L200
2658289,2,1027309,Autovettura privata,In marcia / fermata / arresto,Opel,Zafira
2658291,1,1027304,Autovettura privata,In marcia / fermata / arresto,Seat,ALTEA
2658302,1,1027303,Autovettura privata,In marcia / fermata / arresto,Opel,Meriva
2658302,2,1027308,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Fiat,Ducato
2658305,1,1027307,Autovettura privata,In marcia / fermata / arresto,Mini,Cooper
2658305,2,1027310,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2658305,3,1027316,Autovettura privata,Sosta,Renault,Clio
2658305,4,1027318,Autovettura privata,Sosta,Chevrolet,Cruze
2658305,5,1027320,Autovettura privata,Sosta,Fiat,Punto
2658305,6,1027321,Autovettura privata,Sosta,Renault,Twingo
2658305,7,1027323,Autovettura privata,Sosta,Fiat,500
2658305,8,1027324,Autovettura privata,In marcia / fermata / arresto,Alfa Romeo,147
2658317,1,1027314,Autovettura privata,Sosta,Fiat,Multipla
2658317,2,1027328,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2658332,1,1027322,Autovettura privata,In marcia / fermata / arresto,Peugeot,207
2658332,2,1027325,Autovettura privata,In marcia / fermata / arresto,Hyundai,i10
2658347,1,1027329,Autovettura privata,In marcia / fermata / arresto,Lancia,Y
2658347,2,1027330,Autovettura privata,In marcia / fermata / arresto,Opel,Corsa
2658351,1,1027331,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2658351,2,1027343,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Volkswagen,(ignoto)
2658353,1,1027333,Autovettura privata,In marcia / fermata / arresto,Volkswagen,UP
2658353,2,1027338,Autovettura privata,In marcia / fermata / arresto,Fiat-Lancia,Y
2658360,1,1027337,Autovettura privata,In marcia / fermata / arresto,Renault,Clio
2658360,2,1027452,Autovettura privata,In marcia / fermata / arresto,Chevrolet,spark
2658368,1,1027340,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2658370,1,1027341,Autovettura privata,In marcia / fermata / arresto,Nissan,Micra
2658382,1,1027345,Autovettura privata,In marcia / fermata / arresto,Mercedes,(ignoto)
2658382,2,1027347,Motociclo a solo,In marcia / fermata / arresto,Piaggio,Vespa
2658387,1,1027346,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 300
2658388,1,1027348,Autovettura privata,Sosta,Toyota,Yaris
2658388,2,1027363,Autovettura privata,In marcia / fermata / arresto,Fiat,Stilo
2658402,1,1027351,Autovettura pubblica,In marcia / fermata / arresto,Opel,Vivaro
2658402,2,1027360,Autovettura privata,Sosta,Fiat,500
2658410,1,1027354,Autovettura privata,In marcia / fermata / arresto,BMW,X3
2658410,2,1027357,Autovettura privata,In marcia / fermata / arresto,Opel,Corsa
2658411,1,1027355,Autovettura privata,In marcia / fermata / arresto,Renault,Clio
2658418,1,1027361,Autovettura privata,In marcia / fermata / arresto,Toyota,Corolla
2658418,2,1027368,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2658428,1,1027369,Quadriciclo leggero,In marcia / fermata / arresto,AIXAM,City
2658428,2,1027376,Autovettura privata,Sosta,BMW,320
2658429,1,1027364,Autovettura privata,In marcia / fermata / arresto,Alfa Romeo,147
2658432,1,1027366,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2658449,1,1027377,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2658454,1,1027378,Autovettura privata,In marcia / fermata / arresto,Daimler,Chrysler Smart
2658456,1,1027379,Autovettura privata,In marcia / fermata / arresto,Peugeot,107
2658456,2,1027383,Motociclo a solo,In marcia / fermata / arresto,Honda,SH
2658471,1,1027382,Autovettura privata,In marcia / fermata / arresto,Opel,Corsa Adam
2658471,2,1027386,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 125
2658475,1,1027384,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
2658475,2,1027390,Autovettura privata,In marcia / fermata / arresto,Peugeot,207 CC
2658487,1,1027391,Motociclo a solo,In marcia / fermata / arresto,Peugeot,Tweet
2658487,2,1027397,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
2658489,1,1027392,Autovettura privata,In marcia / fermata / arresto,Smart ,-
2658489,2,1027395,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf
2658494,1,1027398,Autovettura privata,In marcia / fermata / arresto,Suzuki,Alto
2658494,2,1027409,Motociclo a solo,In marcia / fermata / arresto,Kymco,Downtown
2658529,1,1027413,Autovettura privata,In marcia / fermata / arresto,Fiat,500
2658529,2,1027418,Motociclo a solo,In marcia / fermata / arresto,Honda,(ignoto)
2658545,1,1027420,Autovettura privata,In marcia / fermata / arresto,Mini,Cooper
2658545,2,1027426,Autovettura privata,In marcia / fermata / arresto,Honda,Jazz
2658545,3,1027433,Autovettura privata,In marcia / fermata / arresto,Daihatsu,Terios
2658549,1,1027424,Autobus turistico,In marcia / fermata / arresto,IRIBUS,(non accertato)
2658549,2,1027428,Autovettura privata,In marcia / fermata / arresto,Renault,Twingo
2658554,1,1027439,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf
2658554,2,1027446,Ciclomotore,In marcia / fermata / arresto,Piaggio,Free
2658564,1,1027425,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2658564,2,1027427,Autovettura privata,In marcia / fermata / arresto,Ford,Focus
2658587,1,1027438,Autovettura privata,In marcia / fermata / arresto,Mercedes,A 180
2658587,2,1027443,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2658610,1,1027450,Autovettura privata,In marcia / fermata / arresto,Renault,Twingo
2658637,1,1027458,Autovettura privata,In marcia / fermata / arresto,Volkswagen,TIGUAN
2658637,2,1027461,Autovettura privata,In marcia / fermata / arresto,Hyundai,Atos
2658650,1,1027467,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2658660,1,1027465,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart For Two
2658660,2,1027469,Autovettura privata,In marcia / fermata / arresto,Opel,Corsa
2658673,1,1027475,Quadriciclo leggero,In marcia / fermata / arresto,Microcar,(non accertato)
2658673,2,1027484,Autovettura privata,In marcia / fermata / arresto,Fiat,500
2658679,1,1027477,Autovettura pubblica,In marcia / fermata / arresto,Toyota,prius
2658693,1,1027485,Autovettura privata,In marcia / fermata / arresto,Renault,Twingo
2658693,2,1027488,Motociclo con passeggero,In marcia / fermata / arresto,Honda,SH 125
2658695,1,1027487,Autovettura privata,In marcia / fermata / arresto,Volvo,560
2658695,2,1027509,Autobus di linea,In marcia / fermata / arresto,Fiat,Iveco
2658699,1,1027494,Autovettura privata,Sosta,Ford,KA
2658699,2,1027504,Autovettura privata,In marcia / fermata / arresto,Smart ,Smart for two coup�
2658711,1,1027496,Autovettura privata,In marcia / fermata / arresto,Opel,AGILA
2658711,2,1027501,Motociclo con passeggero,In marcia / fermata / arresto,Honda,SH 300
2658714,1,1027502,Autovettura privata,In marcia / fermata / arresto,Fiat,600
2658714,2,1027512,Autovettura privata,In marcia / fermata / arresto,Citroen,AX
2658714,3,1027515,Autovettura privata,In marcia / fermata / arresto,Fiat,500
2658751,1,1027517,Motociclo a solo,In marcia / fermata / arresto,Piaggio,Vespa
2658752,1,1027516,Motociclo a solo,In marcia / fermata / arresto,BMW,R 1200 GS
2658801,1,1027526,Autovettura privata,Sosta,smart for two,(ignoto)
2658814,1,1027537,Motociclo a solo,In marcia / fermata / arresto,Yamaha,TMAX
2658814,2,1027539,Autovettura privata,In marcia / fermata / arresto,Mini,Cooper
2658815,1,1027527,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2658815,2,1027542,Autovettura privata,Sosta,Ford,KA
2658826,1,1027540,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2658826,2,1027544,Autovettura privata,In marcia / fermata / arresto,Ford,Mondeo
2658897,1,1028712,Autovettura pubblica,In marcia / fermata / arresto,Fiat,Multipla Taxi
2658897,2,1028192,Autovettura privata,Sosta,Opel,Meriva
2658922,1,1027553,Autovettura privata,In marcia / fermata / arresto,Ford,(non accertato)
2658922,2,1027554,Autovettura pubblica,In marcia / fermata / arresto,Fiat,Multipla Taxi
2658933,1,1027555,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Renault,Master
2658933,2,1027557,Autovettura pubblica,In marcia / fermata / arresto,Ford,C-MAX
2658933,3,1027558,Motociclo a solo,Sosta,Aprilia,Scarabeo
2658933,4,1027561,Autovettura privata,Sosta,Mercedes,Smart
2658933,5,1027572,Autovettura privata,Sosta,Smart ,-
2658939,1,1027559,Autovettura pubblica,In marcia / fermata / arresto,Toyota,Auris
2658939,2,1027562,Autovettura privata,In marcia / fermata / arresto,Peugeot,3008
2658954,1,1027567,Motociclo a solo,In marcia / fermata / arresto,Kimco,People
2658957,1,1027569,Autovettura privata,In marcia / fermata / arresto,Volkswagen,TIGUAN
2658957,2,1027570,Autovettura privata,In marcia / fermata / arresto,Fiat,Brava
2658960,1,1027579,Autovettura privata,In marcia / fermata / arresto,Toyota,Aygo
2658960,2,1027595,Autovettura privata,In marcia / fermata / arresto,Hyundai,Atos
2658960,3,1027610,Autovettura privata,In marcia / fermata / arresto,Audi,A1
2658966,1,1027571,Autovettura privata,In marcia / fermata / arresto,Opel,AGILA
2658966,2,1027573,Motociclo a solo,In marcia / fermata / arresto,Piaggio,Beverly
2658970,1,1027574,Autovettura privata,In marcia / fermata / arresto,Citroen,C 2
2658980,1,1027576,Autovettura privata,In marcia / fermata / arresto,Honda,Civic
2658999,1,1027578,Autovettura privata,In marcia / fermata / arresto,Opel,Meriva
2658999,2,1027582,Motociclo a solo,In marcia / fermata / arresto,Suzuki,600
2659006,1,1027581,Autovettura privata,In marcia / fermata / arresto,Skoda,Fabia
2659006,2,1027584,Autovettura privata,In marcia / fermata / arresto,Audi,A1
2659014,1,1027583,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2659020,1,1027587,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2659020,2,1027588,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart Fortwo
2659036,1,1027589,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2659036,2,1027593,Motociclo a solo,In marcia / fermata / arresto,Honda,Silve Wing
2659039,1,1027590,Autovettura privata,Allontanatosi,(ignoto),(non accertato)
2659039,2,1027591,Autovettura privata,Sosta,Chevrolet,Matiz
2659057,1,1027599,Autovettura privata,In marcia / fermata / arresto,Smart ,Fortwo Coupe
2659057,2,1027604,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2659062,1,1027597,Autovettura privata,In marcia / fermata / arresto,Renault,Clio
2659062,2,1027601,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Fiat,Doblo'
2659063,1,1027598,Autovettura privata,In marcia / fermata / arresto,Alfa Romeo,147
2659063,2,1027602,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart
2659070,1,1027603,Autobus turistico,In marcia / fermata / arresto,Chrysler,Voyager
2659072,1,1027606,Autovettura privata,In marcia / fermata / arresto,BMW,318
2659072,2,1027611,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2659080,1,1027607,Autovettura privata,In marcia / fermata / arresto,Audi,Q 3
2659080,2,1027608,Motociclo a solo,In marcia / fermata / arresto,Yamaha,XP 500
2659110,1,1027616,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 300
2659110,2,1027623,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Fiat,Ducato
2659123,1,1027620,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2659123,2,1027624,Motociclo a solo,In marcia / fermata / arresto,Yamaha,Twin 900 TDM
2659135,1,1027619,Autovettura privata,In marcia / fermata / arresto,Mercedes,A 160
2659135,2,1027625,Motociclo a solo,In marcia / fermata / arresto,Aprilia,Scarabeo
2659167,1,1027626,Autovettura privata,In marcia / fermata / arresto,Ford,C Max
2659167,2,1027628,Motociclo a solo,In marcia / fermata / arresto,Honda,PANTHEON
2659191,1,1027631,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
2659191,2,1027648,Macchina operatrice,In marcia / fermata / arresto,Melroe Bobcat,Paletta
2659218,1,1027641,Autovettura privata,In marcia / fermata / arresto,Peugeot,(non accertato)
2659218,2,1027644,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2659236,1,1027646,Autovettura privata,In marcia / fermata / arresto,Peugeot,207
2659236,2,1027649,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2659264,1,1027653,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf
2659266,1,1027655,Autovettura privata,In marcia / fermata / arresto,Fiat,600
2659267,1,1027658,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
2659267,2,1027660,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2659270,1,1027659,Autovettura privata,In marcia / fermata / arresto,Nissan,Juke
2659270,2,1027661,Autovettura privata,In marcia / fermata / arresto,Renault,Clio
2659281,1,1039015,Veicolo ignoto perch� FUGA,Allontanatosi,(ignoto),(ignoto)
2659281,2,1027662,Autovettura privata,Sosta,Toyota,Corolla Verso
2659281,3,1027664,Autovettura privata,Sosta,Toyota,Yaris
2659282,1,1027663,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2659282,2,1027665,Autovettura privata,In marcia / fermata / arresto,Opel,Astra
2659286,1,1027667,Motociclo a solo,In marcia / fermata / arresto,Honda,Silver Wing
2659289,1,1027666,Autovettura privata,In marcia / fermata / arresto,Nissan,Micra
2659289,2,1027668,Autovettura privata,In marcia / fermata / arresto,Opel,Astra
2659294,1,1027669,Motociclo a solo,In marcia / fermata / arresto,Piaggio,Vespa
2659298,1,1027671,Autovettura privata,In marcia / fermata / arresto,Peugeot,107
2659298,2,1027679,Autovettura privata,Allontanatosi,Renault,Megane
2659299,1,1027670,Autovettura privata,In marcia / fermata / arresto,Volkswagen,TOUAREG
2659299,2,1027673,Autovettura privata,In marcia / fermata / arresto,Land Rover,Discovery
2659301,1,1027672,Autovettura privata,In marcia / fermata / arresto,Lancia,Ypsilon
2659301,2,1027678,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 150
2659301,3,1028791,Autovettura privata,In marcia / fermata / arresto,Opel,Astra
2659307,1,1027676,Motociclo a solo,In marcia / fermata / arresto,Yamaha,XT600Z
2659310,1,1027680,Motociclo a solo,In marcia / fermata / arresto,Piaggio,Beverly
2659310,2,1027682,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2659311,1,1027681,Autovettura privata,In marcia / fermata / arresto,Alfa Romeo,147
2659311,2,1027683,Motociclo a solo,In marcia / fermata / arresto,Piaggio,X 9
2659322,1,1027684,Autovettura privata,In marcia / fermata / arresto,Fiat-Lancia,delta
2659322,2,1027686,Autovettura privata,In marcia / fermata / arresto,Smart ,Fortwo
2659322,3,1027688,Autovettura privata,In marcia / fermata / arresto,Fiat,500
2659324,1,1027690,Autovettura privata,In marcia / fermata / arresto,Fiat,Sedici
2659324,2,1027695,Autovettura pubblica,In marcia / fermata / arresto,Mercedes,E200
2659326,1,1027691,Autovettura privata,In marcia / fermata / arresto,Chevrolet,Aveo
2659332,1,1027700,Motociclo a solo,In marcia / fermata / arresto,Honda,CBR 600
2659342,1,1027698,Autovettura privata,In marcia / fermata / arresto,Toyota,AYGO'
2659357,1,1027703,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Caddy
2659357,2,1027704,Autovettura privata,Sosta,Opel,AGILA
2659369,1,1027708,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2659380,1,1027759,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2659570,1,1027739,Autovettura privata,In marcia / fermata / arresto,Opel,Corsa
2659570,2,1027742,Autovettura privata,In marcia / fermata / arresto,Dacia,Sandero
2659570,3,1027748,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart For Two
2659577,1,1027875,Autovettura privata,In marcia / fermata / arresto,Chevrolet,Matiz
2659577,2,1027881,Autovettura privata,In marcia / fermata / arresto,Mercedes,200 E
2659585,1,1027740,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Citroen,Jumpy
2659585,2,1027745,Autovettura privata,In marcia / fermata / arresto,Toyota,Corolla Verso
2659585,3,1027749,Autovettura privata,Sosta,Daimler Chrysler,Smart Fortwo Coupe'
2659585,4,1027751,Autovettura privata,Sosta,Ford,Fiesta
2659585,5,1027752,Autovettura privata,Sosta,Citroen,C1
2659585,6,1027755,Autovettura privata,Sosta,Daimler AG,Smart Fortwo coup�
2659587,1,1027910,Motociclo a solo,In marcia / fermata / arresto,Honda,Silver Wing 400
2659587,2,1027938,Autovettura privata,In marcia / fermata / arresto,Renault,Clio
2659593,1,1027738,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2659597,1,1027744,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2659601,1,1031312,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2659601,2,1031323,Autovettura privata,In marcia / fermata / arresto,Renault,Clio
2659613,1,1027741,Motociclo a solo,In marcia / fermata / arresto,Kimco,People
2659617,1,1027747,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Ford,Transit Connect
2659617,2,1027750,Autovettura privata,In marcia / fermata / arresto,Fiat-Lancia,Z
2659621,1,1027920,Autovettura privata,In marcia / fermata / arresto,Dacia.,Duster
2659621,2,1027930,Autobus turistico,In marcia / fermata / arresto,TEMSA,AVENUE LF
2659622,1,1027746,Motociclo a solo,In marcia / fermata / arresto,Yamaha,X-City
2659627,1,1027787,Autovettura privata,In marcia / fermata / arresto,Citroen,C 2
2659627,2,1027814,Motociclo a solo,In marcia / fermata / arresto,Honda,PES
2659628,1,1028046,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2659628,2,1028051,Autovettura privata,In marcia / fermata / arresto,Renault,(ignoto)
2659632,1,1027993,Autovettura privata,In marcia / fermata / arresto,Fiat,500 L
2659633,1,1030206,Autovettura privata,In marcia / fermata / arresto,Fiat,600
2659633,2,1030217,Autovettura privata,In marcia / fermata / arresto,Suzuki,Swift
2659635,1,1027991,Autovettura privata,In marcia / fermata / arresto,Mercedes,Classe B 180
2659637,1,1027989,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart Fortwo Coup�
2659638,1,1027988,Autovettura privata,In marcia / fermata / arresto,BMW,320
2659639,1,1027753,Autovettura privata,Sosta,Suzuki,Swift
2659639,2,1027947,Autovettura privata,Sosta,Ford,Fiesta
2659639,3,1027949,Autovettura privata,Sosta,Fiat,Stilo
2659639,4,1028814,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart Micro Compact Car
2659642,1,1027982,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2659650,1,1027984,Autovettura privata,In marcia / fermata / arresto,Ford,C - MAX
2659652,1,1027754,Motociclo a solo,Allontanatosi,Honda,SH 150
2659652,2,1027756,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 150
2659655,1,1027761,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf Variant
2659655,2,1027764,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
2659655,3,1027765,Motociclo a solo,In marcia / fermata / arresto,Ducati,Hypermotard
2659657,1,1027758,Autovettura privata,In marcia / fermata / arresto,Peugeot,107
2659657,2,1027763,Motociclo a solo,In marcia / fermata / arresto,Honda,(ignoto)
2659662,1,1027766,Autovettura privata,In marcia / fermata / arresto,Lancia,Y
2659662,2,1027769,Autovettura privata,In marcia / fermata / arresto,Fiat,500
2659669,1,1027835,Autobus di linea,In marcia / fermata / arresto,TEMSA,AVENUE LF
2659669,2,1027855,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2659670,1,1027760,Autovettura privata,Sosta,Hyundai,GETZ
2659670,2,1027762,Autovettura privata,In marcia / fermata / arresto,(ignoto),(non accertato)
2659687,1,1027768,Autovettura privata,In marcia / fermata / arresto,Mini,One
2659689,1,1027770,Altro,Allontanatosi,(ignoto),(ignoto)
2659700,1,1027771,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 300
2659726,1,1027782,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2659726,2,1027852,Autovettura privata,In marcia / fermata / arresto,Chevrolet,spark
2659728,1,1027775,Autovettura privata,Sosta,Dacia,Sandero
2659728,2,1027776,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Fiat,Iveco
2659738,1,1027786,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Fiat Iveco,(non accertato)
2659738,2,1027790,Autovettura privata,In marcia / fermata / arresto,Audi,A 6
2659742,1,1027777,Autovettura privata,In marcia / fermata / arresto,BMW,(ignoto)
2659742,2,1027783,Autovettura privata,In marcia / fermata / arresto,Fiat,500
2659749,1,1027781,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Nissan,(non accertato)
2659757,1,1027826,Autovettura privata,In marcia / fermata / arresto,Peugeot,(ignoto)
2659757,2,1027884,Motociclo a solo,In marcia / fermata / arresto,Kimco,125
2659759,1,1027791,Motociclo a solo,In marcia / fermata / arresto,Yamaha,(non accertato)
2659764,1,1027792,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 125
2659772,1,1027795,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 150
2659783,1,1029333,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
2659783,2,1029335,Autovettura pubblica,In marcia / fermata / arresto,Opel,Astra
2659807,1,1027796,Autovettura privata,In marcia / fermata / arresto,Kia,Sportage
2659807,2,1027815,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2659813,1,1029318,Autovettura privata,In marcia / fermata / arresto,Opel,Vivaro
2659813,2,1029325,Autovettura privata,In marcia / fermata / arresto,Renault,Twingo
2659814,1,1027798,Autovettura privata,In marcia / fermata / arresto,BMW,390
2659814,2,1027809,Autovettura privata,In marcia / fermata / arresto,Volkswagen,TIGUAN
2659820,1,1027799,Motociclo con passeggero,In marcia / fermata / arresto,Yamaha,Majesty
2659830,1,1027805,Autovettura privata,In marcia / fermata / arresto,Renault,Scenic
2659830,2,1027832,Motociclo a solo,In marcia / fermata / arresto,Kimco,AGILITY
2659833,1,1027807,Motociclo a solo,In marcia / fermata / arresto,BMW,(non accertato)
2659833,2,1027813,Autovettura privata,In marcia / fermata / arresto,Kia,Venga
2659833,3,1027816,Autovettura privata,In marcia / fermata / arresto,Renault,Twingo
2659851,1,1027818,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart Fortwo Coup�
2659853,1,1027819,Autovettura privata,In marcia / fermata / arresto,Fiat,500
2659853,2,1027820,Motociclo a solo,In marcia / fermata / arresto,Honda,SH
2659869,1,1027827,Autovettura privata,In marcia / fermata / arresto,Smart ,-
2659869,2,1027828,Autovettura privata,In marcia / fermata / arresto,Fiat,500 L
2659872,1,1027829,Motociclo a solo,In marcia / fermata / arresto,Honda,SH
2659887,1,1027837,Autovettura privata,In marcia / fermata / arresto,Hyundai,i 20
2659887,2,1027840,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 150
2659889,1,1027838,Autovettura privata,In marcia / fermata / arresto,Peugeot,207
2659889,2,1027841,Autovettura privata,In marcia / fermata / arresto,Audi,A 4
2659905,1,1027848,Autovettura privata,In marcia / fermata / arresto,BMW,216 d
2659909,1,1027851,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2659909,2,1027856,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2659910,1,1027849,Autovettura privata,In marcia / fermata / arresto,Renault,Clio
2659917,1,1027859,Motociclo a solo,In marcia / fermata / arresto,Yamaha,Majesty 400
2659934,1,1027867,Autovettura privata,In marcia / fermata / arresto,Mini,Cooper
2659934,2,1027942,Autovettura privata,In marcia / fermata / arresto,Toyota,Corolla
2659945,1,1027865,Autovettura privata,In marcia / fermata / arresto,Toyota,(non accertato)
2659949,1,1027863,Autovettura privata,In marcia / fermata / arresto,Mercedes,B
2659949,2,1027868,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2659949,3,1027874,Autovettura privata,In marcia / fermata / arresto,Fiat,500
2659953,1,1027862,Autovettura privata,In marcia / fermata / arresto,Lancia,Y
2659953,2,1027864,Autovettura privata,Sosta,Ford,(ignoto)
2659953,3,1027866,Autovettura privata,Allontanatosi,Fiat,(ignoto)
2659954,1,1027870,Motociclo a solo,In marcia / fermata / arresto,Aprilia,Sportcity
2659964,1,1027871,Autovettura privata,In marcia / fermata / arresto,Ford,C. Max
2659964,2,1027888,Autobus di linea,In marcia / fermata / arresto,Neoplan,(ignoto)
2659965,1,1027869,Autovettura privata,In marcia / fermata / arresto,Lancia,Ypsilon
2659975,1,1027900,Motociclo a solo,In marcia / fermata / arresto,BMW,1200 GS
2659975,2,1027918,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
