ID,Gruppo,_DataOraIncidente,_Localizzazione1,_Localizzazione2,Strada02,Strada1,Strada2,Chilometrica,DaSpecificare,_NaturaIncidente,_ParticolaritaStrade,_TipoStrada,_FondoStradale,_Pavimentazione,_Segnaletica,_CondizioneAtmosferica,_Traffico,_Visibilita,_Illuminazione,NUM_FERITI,_NUM_RISERVATA,_NUM_MORTI,_NUM_ILLESI,Longitudine,Latitudine,CONFERMATO
2640279,7,1/1/16 9:40,Strada Urbana,da specificare,,VIA LUCA GHINI,,,altezza civico 60,Veicolo in marcia contro veicolo in sosta,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,1,"1,258,077","4,187,658",True
2640391,1,1/1/16 10:00,Strada Urbana,in corrispondenza,del civico n.,VIA DI PORTA MAGGIORE,,36,,Veicolo in marcia contro veicoli in sosta,Rettilineo,Pi•À_ di due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,0,0,0,0,"1,251,298","4,189,201",False
2640366,1,1/1/16 10:30,Strada Urbana,in prossimit•À_,del civico n.,LUNGOTEVERE DE' CENCI,,4,,Tamponamento Multiplo,Rettilineo,Una carreggiata a senso unico di marcia,Sdrucciolevole (fango),Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,1,0,0,4,"1,247,535","4,189,196",True
2640734,1,1/1/16 10:30,Strada Urbana,in prossimit•À_,del civico n.,LUNGOTEVERE DEI VALLATI,,25,,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Una carreggiata a senso unico di marcia,Viscido da liquidi oleosi,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,1,0,0,0,,,False
2640731,1,1/1/16 10:30,Strada Urbana,in prossimit•À_,del palo luce n.,LUNGOTEVERE DE' CENCI,,10 12,,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Una carreggiata a senso unico di marcia,Viscido da liquidi oleosi,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,Ore Diurne,0,0,0,1,"1,247,647","4,189,194",False
2641643,1,1/1/16 10:32,Strada Urbana,in prossimit•À_,del palo luce n.,LUNGOTEVERE DE' CENCI,,10,,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Una carreggiata a senso unico di marcia,Viscido da liquidi oleosi,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Ore Diurne,2,0,0,0,"1,247,647","4,189,194",False
2641525,12,1/1/16 10:45,Strada Urbana,da specificare,,VIADOTTO DELLA MAGLIANA,,,prossimit•À_ via del Pattinaggio direz. Fiumicino,Veicolo in marcia contro ostacolo fisso,Curva a visuale libera,Due carreggiate,Bagnato (pioggia),Asfaltata,Verticale ed orizzontale,Pioggia in atto,Scarso,Buona,Ore Diurne,0,0,0,1,"1,246,706","4,184,353",True
2641531,12,1/1/16 11:50,Strada Urbana,da specificare,,VIADOTTO DELLA MAGLIANA,,,prossimit•À_ via del Cappellaccio direz. Fiumicino,Veicolo in marcia contro ostacolo fisso,Curva senza visuale libera,Due carreggiate,Bagnato (pioggia),Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,Ore Diurne,0,0,0,2,"1,246,189","41,84",True
2640306,1,1/1/16 12:30,Strada Urbana,all'intersezione con,VIA FERDINANDO DI SAVOIA,LUNGOTEVERE ARNALDO DA BRESCIA,VIA FERDINANDO DI SAVOIA,,,Veicolo in marcia contro veicolo fermo,Incrocio,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Intenso,Sufficiente,Ore Diurne,0,0,0,2,"1,247,261","419,123",True
2639896,6,1/1/16 13:00,Strada Urbana,all'intersezione con,VIA ERASMO GATTAMELATA,VIA LUCHINO DAL VERME,VIA ERASMO GATTAMELATA,,,Scontro laterale fra veicoli in marcia,Incrocio,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,0,0,0,3,"1,253,657","4,188,872",True
2640405,20,1/1/16 13:20,Regionale entro l'abitato,all'intersezione con,VIA RICCARDO MORBELLI,VIA CASSIA,VIA RICCARDO MORBELLI,,,Scontro frontale/laterale SX fra veicoli in marcia,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,,Sereno,Scarso,Buona,Ore Diurne,2,0,0,4,,,False
2639906,6,1/1/16 14:40,Strada Urbana,in prossimit•À_,del civico n.,VIA DELLA MARRANELLA,,48,,Veicolo in marcia contro veicolo in sosta,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,0,0,0,1,"1,254,236","4,188,197",True
2640318,1,1/1/16 15:10,Strada Urbana,da specificare,,PIAZZA AUGUSTO IMPERATORE,,,IN PROSSIMITA' VIA RIPETTA,Infortunio per caduta del veicolo,Rettilineo,,Asciutto,Acciotolata,Orizzontale,Sereno,Scarso,Buona,Ore Diurne,1,0,0,0,,,False
2639735,15,1/1/16 16:30,Strada Urbana,in prossimit•À_,del civico n.,VIA DELLA MAGLIANA,,424,,Scontro frontale fra veicoli in marcia,Curva a visuale libera,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Ore Diurne,4,0,0,1,"1,244,653","4,183,418",True
2646149,18,1/1/16 16:30,Strada Urbana,in corrispondenza,del civico n.,VIA GREGORIO XI,,107,,Veicolo in marcia contro veicoli in sosta,Curva a visuale libera,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,Ore Diurne,1,0,0,0,"1,242,106","4,190,207",True
2639891,11,1/1/16 17:55,Strada Urbana,in corrispondenza,del civico n.,VIA DELLA MAGLIANA,,243,,Veicolo in marcia contro veicolo fermo,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Sufficiente,Sufficiente,0,0,0,4,"1,245,772","4,184,754",True
