_IDProtocollo,_IDVeicolo,_Progressivo,_TipoPersona,_AnnoNascita,_Sesso,_TipoLesione,_Deceduto,_CinturaCascoUtilizzato,_DecedutoDopo,__prefix,_Airbag
2568887,1003641,2,Conducente,1991,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2568924,1003646,1,Conducente,1987,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2568964,1003656,1,Passeggero,0,M,Rimandato,False,,NON DECEDUTO,z,
2569121,1003697,2,Conducente,1962,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2569191,1003702,1,Conducente,1991,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2569191,1003703,2,Passeggero,1992,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2569191,1003703,2,Conducente,1986,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2569228,1003710,2,Passeggero,1976,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesistente
2569229,1003708,1,Conducente,1989,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2569250,1003712,1,Conducente,1981,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2569250,1003713,2,Conducente,1989,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2569256,1003714,1,Conducente,1998,M,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,
2569273,1003720,2,Conducente,1965,M,Rimandato,False,Utilizzato,NON DECEDUTO,z,
2569286,1003728,2,Conducente,1982,M,Rimandato,False,Esente,NON DECEDUTO,z,
2569293,1003724,2,Conducente,1991,M,Rimandato,False,Esente,NON DECEDUTO,z,
2569305,1003727,2,Conducente,1960,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2569309,1003735,2,Conducente,1976,M,Ricoverato,False,,NON DECEDUTO,z,
2569313,1003732,1,Conducente,1988,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2569360,1003797,2,Conducente,1968,M,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,Inesploso
2569372,1003766,1,Conducente,1977,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2569435,1003761,2,Conducente,1957,M,Rimandato,False,,NON DECEDUTO,z,
2569477,1003773,2,Conducente,1990,F,Ricoverato,False,Non accertato,NON DECEDUTO,z,
2569497,1003787,2,Conducente,1957,M,Rimandato,False,Esente,NON DECEDUTO,z,
2569522,1003800,2,Conducente,1986,F,Rifiuta cure immediate,False,,NON DECEDUTO,z,
2569584,1003814,1,Conducente,1985,M,Rifiuta cure immediate,False,,NON DECEDUTO,z,Esploso
2569584,1003816,2,Conducente,1955,F,Rimandato,False,,NON DECEDUTO,z,
2569600,1003834,1,Conducente,1938,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2569664,1003865,2,Conducente,1975,F,Ricoverato,False,Non accertato,NON DECEDUTO,z,Inesploso
2569664,1003865,2,Passeggero,1965,M,Rimandato,False,,NON DECEDUTO,z,
2569712,1003863,1,Conducente,1978,F,Rimandato,False,,NON DECEDUTO,z,
2569785,1003891,1,Conducente,1955,M,Rimandato,False,,NON DECEDUTO,z,
2569844,1003901,1,Conducente,1993,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2570016,1003924,1,Conducente,1940,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesistente
2570046,1003927,1,Conducente,1980,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2570148,1003945,1,Conducente,1966,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2570152,1003961,1,Conducente,1965,M,Ricoverato,False,Non accertato,NON DECEDUTO,z,
2570247,1003970,1,Conducente,1992,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2570248,1003966,1,Conducente,0,M,Rifiuta cure immediate,False,,NON DECEDUTO,z,
2570259,1004702,1,Conducente,0,M,Rifiuta cure immediate,False,,NON DECEDUTO,z,
2570265,1003975,2,Conducente,1950,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2570271,1003981,2,Conducente,1993,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2570315,1004001,2,Conducente,1986,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2570315,1004001,2,Passeggero,1991,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2570706,1004169,1,Conducente,1980,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2570711,1004166,1,Conducente,1979,F,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,Inesploso
2570711,1004168,2,Passeggero,1998,F,Rimandato,False,,NON DECEDUTO,z,
2570748,1004163,1,Conducente,1985,M,Rifiuta cure immediate,False,,NON DECEDUTO,z,
2570753,1004171,1,Conducente,1971,F,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,Inesploso
